date,county,state,fips,cases,newCases,deaths,newDeaths
2020-03-14,Greene,Missouri,29077,2,1,0,0
2020-03-14,Henry,Missouri,29083,1,0,0,0
2020-03-14,St. Louis,Missouri,29189,2,0,0,0
2020-03-15,Greene,Missouri,29077,2,0,0,0
2020-03-15,Henry,Missouri,29083,1,0,0,0
2020-03-15,St. Louis,Missouri,29189,2,0,0,0
2020-03-16,Cass,Missouri,29037,1,1,0,0
2020-03-16,Greene,Missouri,29077,3,1,0,0
2020-03-16,Henry,Missouri,29083,1,0,0,0
2020-03-16,St. Louis,Missouri,29189,4,2,0,0
2020-03-17,Boone,Missouri,29019,1,1,0,0
2020-03-17,Cass,Missouri,29037,2,1,0,0
2020-03-17,Cole,Missouri,29051,1,1,0,0
2020-03-17,Greene,Missouri,29077,4,1,0,0
2020-03-17,Henry,Missouri,29083,1,0,0,0
2020-03-17,Jackson,Missouri,29095,2,2,0,0
2020-03-17,St. Louis,Missouri,29189,5,1,0,0
2020-03-18,Boone,Missouri,29019,1,0,1,1
2020-03-18,Cass,Missouri,29037,2,0,0,0
2020-03-18,Cole,Missouri,29051,2,1,0,0
2020-03-18,Greene,Missouri,29077,4,0,0,0
2020-03-18,Henry,Missouri,29083,1,0,0,0
2020-03-18,Jackson,Missouri,29095,3,1,0,0
2020-03-18,St. Charles,Missouri,29183,1,1,0,0
2020-03-18,St. Louis,Missouri,29189,6,1,0,0
2020-03-18,St. Louis city,Missouri,29510,1,1,0,0
2020-03-19,Boone,Missouri,29019,3,2,1,0
2020-03-19,Cass,Missouri,29037,4,2,0,0
2020-03-19,Cole,Missouri,29051,2,0,0,0
2020-03-19,Greene,Missouri,29077,6,2,0,0
2020-03-19,Henry,Missouri,29083,1,0,0,0
2020-03-19,Jackson,Missouri,29095,3,0,0,0
2020-03-19,St. Charles,Missouri,29183,1,0,0,0
2020-03-19,St. Louis,Missouri,29189,10,4,0,0
2020-03-19,St. Louis city,Missouri,29510,5,4,0,0
2020-03-20,Boone,Missouri,29019,10,7,1,0
2020-03-20,Cass,Missouri,29037,6,2,0,0
2020-03-20,Christian,Missouri,29043,2,2,0,0
2020-03-20,Cole,Missouri,29051,3,1,0,0
2020-03-20,Dunklin,Missouri,29069,1,1,0,0
2020-03-20,Greene,Missouri,29077,8,2,0,0
2020-03-20,Henry,Missouri,29083,1,0,0,0
2020-03-20,Jackson,Missouri,29095,5,2,1,1
2020-03-20,Kansas City,Missouri,,12,12,0,0
2020-03-20,Pulaski,Missouri,29169,1,1,0,0
2020-03-20,Scott,Missouri,29201,1,1,0,0
2020-03-20,St. Charles,Missouri,29183,3,2,0,0
2020-03-20,St. Louis,Missouri,29189,13,3,1,1
2020-03-20,St. Louis city,Missouri,29510,6,1,0,0
2020-03-20,Unknown,Missouri,,1,1,0,0
2020-03-21,Bates,Missouri,29013,1,1,0,0
2020-03-21,Boone,Missouri,29019,11,1,1,0
2020-03-21,Cass,Missouri,29037,6,0,0,0
2020-03-21,Christian,Missouri,29043,2,0,0,0
2020-03-21,Cole,Missouri,29051,3,0,0,0
2020-03-21,Dunklin,Missouri,29069,1,0,0,0
2020-03-21,Greene,Missouri,29077,10,2,0,0
2020-03-21,Henry,Missouri,29083,1,0,0,0
2020-03-21,Jackson,Missouri,29095,5,0,1,0
2020-03-21,Jasper,Missouri,29097,1,1,0,0
2020-03-21,Johnson,Missouri,29101,1,1,0,0
2020-03-21,Kansas City,Missouri,,13,1,0,0
2020-03-21,Pulaski,Missouri,29169,1,0,0,0
